Price,	Area,	Location,	No. of Bedrooms
4850000,	720,	Kharghar,	1
4500000,	600,	Kharghar,	1
6700000,	650,	Kharghar,	1
4500000,	650,	Kharghar,	1
5000000,	665,	Kharghar,	1
17000000,	2000,	Kharghar,	4
12500000,	1550,	Kharghar,	3
10500000,	1370,	Sector-13 Kharghar,	3
10500000,	1356,	Kharghar,	3
15000000,	1680,	Kharghar,	3
8700000,	980,	Kharghar,	2
9000000,	1000,	Kharghar,	2
11000000,	1060,	Kharghar,	2
10500000,	1095,	Kharghar,	2
9700000,	1155,	Kharghar,	2
10500000,	1150,	Kharghar,	2
8000000,	1250,	Sector 18 Kharghar,	2
8500000,	990,	Kharghar,	2
9300000,  1078,	Kharghar,	2

